original_line_number,description,length
2335,создай класс DiskInfo для хранения данных о диске,40++++++++++++++++++++
2356,создай класс для представления координат,40-------------------
2489,реализуй класс для политики безопасности,40+++++++++++++++++++
2550,создай класс для работы с сжатием данных,40+++++++++++++++++++
2558,создай класс для кэширования изображений,40+++++++++++++++++++
2562,реализуй класс Database для работы с базой данных,40+++++++++++++++++++
2592,реализуй класс Monitoring для работы с мониторингом,40+++++++++++++++++++
2600,создай класс VideoCall для работы с видео-звонками,40+++++++++++++++++++
2621,напиши класс для системы комментирования,40--------------------
2673,напиши класс CommentSystem для системы комментирования,40++++++++++++++++++++
2720,создай класс для генетического алгоритма,40--------------------
2731,напиши класс BinarySearchTree для бинарного дерева поиска,40++++++++++++++++++
2733,реализуй класс RedBlackTree для красно-черного дерева,40++++++++++++++++++
2748,реализуй класс для работы с базой данных,40--------------------
2791,создай класс для рецепта с ингредиентами,40
2806,создай класс для медицинского назначения,40
2842,создай класс с template method паттерном,40
2858,реализуй класс с empty base optimization,40
2866,создай класс с виртуальным наследованием,40
2870,реализуй класс с noexcept спецификатором,40
2908,создай класс FunctionAnalyzer с result_of (invoke_result),40++++++++++++++++++
679,создай программу которая использует union,41++++++++++++++++++++++++++++
715,создай класс с вложенным (nested) классом,41++++++++++++++++++++++++++++
826,создай класс для геометрического квадрата,41++++++++++++++++++++++++++++
925,создай класс для хранения оценок студента,41++++++++++++++++++++++++++++
1010,создай класс для математической константы,41++++++++++++++++++++++++++++
1547,напиши программу с виртуальными функциями,41
1562,создай программу с constexpr вычислениями,41
1647,напиши программу которая вычисляет скидку,41-------------------
1662,создай программу которая вычисляет EBITDA,41
1861,напиши программу которая использует union,41
1975,создай программу которая вычисляет скидку,41+++++++++++++++++++
1990,напиши программу которая вычисляет EBITDA,41
2317,создай класс для хранения данных о погоде,41+++++++++++++++++++
2329,создай класс для хранения данных о памяти,41+++++++++++++++++++
2330,реализуй класс для простого генератора ID,41+++++++++++++++++++
2332,создай класс NetworkParams для хранения параметров сети,41++++++++++++++++++++
2348,реализуй класс Serializer для простого сериализатора,41++++++++++++++++++
2509,реализуй класс для работы с конфигурацией,41+++++++++++++++++++
2542,реализуй класс Quaternion для работы с кватернионами,41++++++++++++++++++
2547,создай класс для работы с AES шифрованием,41+++++++++++++++++++
2595,реализуй класс для работы с уведомлениями,41
2604,реализуй класс для работы с напоминаниями,41
2743,напиши класс для работы с AES шифрованием,41-------------------
2782,создай класс для задачи в менеджере задач,41
2798,реализуй класс для университетского курса,41+++++++++++++++++++
2805,напиши класс для транспортного расписания,41+++++++++++++++++++
2814,напиши класс с шаблоном для пары значений,41
2864,реализуй класс с перегрузкой оператора ->,41-------------------
2874,напиши класс с default и delete функциями,41
66,создай программу которая использует макрос,42++++++++++++++++++++++++++++
93,напиши программу которая создает константу,42++++++++++++++++++++++++++++
742,реализуй класс для точки в 3D пространстве,42++++++++++++++++++++++++++++
802,создай класс Address для адреса с улицей и городом,42++++++++++++++++++
820,реализуй класс для математического вектора,42++++++++++++++++++++++++++++
832,напиши класс для представления температуры,42++++++++++++++++++++++++++++
1055,реализуй класс с перегрузкой оператора ->*,42++++++++++++++++++++++++++++
1568,напиши программу с регулярными выражениями,42
1646,создай программу которая вычисляет наценку,42
1648,создай программу которая вычисляет прибыль,42
1674,создай программу которая вычисляет дюрацию,42
1787,напиши программу которая реализует кэш LRU,42++++++++++++++++++++
1854,создай программу которая создает константу,42
1863,создай программу которая использует макрос,42
1974,напиши программу которая вычисляет наценку,42
1976,напиши программу которая вычисляет прибыль,42
2002,создай программу которая вычисляет дюрацию,42
2326,создай класс для хранения настройки шрифта,42----------------------
2340,напиши класс для представления точки входа,42
2341,создай класс для хранения данных о батарее,42
2347,создай класс SensorData для хранения данных о сенсоре,42++++++++++++++++++++
2522,напиши класс для наблюдения за изменениями,42
2524,реализуй класс для кэширования изображений,42++++++++++++++++++++++
2553,создай класс для работы с интерпретаторами,42++++++++++++++++++++++
2557,напиши класс для работы с датой и временем,42++++++++++++++++++++++
2573,создай класс HTTPHeaders для работы с заголовками HTTP,42++++++++++++++++++++
2601,реализуй класс AudioCall для работы с аудио-звонками,42++++++++++++++++++++
2717,создай класс для статистических вычислений,42+++++++++++++++++++++++++
2774,реализуй класс для точки в 2D пространстве,42-------------------------
2804,реализуй класс для социального медиа поста,42+++++++++++++++++++++++++
2969,создай класс для системы репликации данных,42+++++++++++++++++++++++++
96,создай программу которая использует typedef,43++++++++++++++++++++++++++++
120,создай программу которая использует nullptr,43++++++++++++++++++++++++++++
778,создай класс для товара с названием и ценой,43++++++++++++++++++++++++++++
793,напиши класс для координат широты и долготы,43++++++++++++++++++++++++++++
817,создай класс для животного с видом и именем,43++++++++++++++++++++++++++++
946,реализуй класс с делегирующим конструктором,43++++++++++++++++++++++++++++
1542,создай класс с конструктором и деструктором,43+++++++++++++++++++++++
1576,напиши программу с concept проверками C++20,43+++++++++++++++++++++++
1800,напиши программу которая демонстрирует CRTP,43+++++++++++++++++++++++
1855,напиши программу которая использует typedef,43-----------------------
1871,создай программу которая использует nullptr,43++++++++++++++++++++++++++++
2268,напиши программу которая создает вектор пар,43++++++++++++++++++++++++++++
2303,создай программу которая нормализует вектор,43++++++++++++++++++++++++++++
2327,реализуй класс для простого счётчика тактов,43++++++++++++++++++++++++++++
2342,реализуй класс для простого преобразователя,43++++++++++++++++++++++++++++
2344,создай класс для хранения параметров камеры,43++++++++++++++++++++++++++++
2520,создай класс для работы с временными зонами,43++++++++++++++++++++++++++++
2548,реализуй класс для работы с RSA шифрованием,43++++++++++++++++++++++++++++
2564,создай класс для работы с файловой системой,43++++++++++++++++++++++++++++
2719,напиши класс для работы с нейронными сетями,43++++++++++++++++++++++++++++
2742,реализуй класс для работы с RSA шифрованием,43----------------------------
2755,напиши класс для работы с файловой системой,43++++++++++++++++++++++++++++
2781,напиши класс для уведомления с приоритетами,43++++++++++++++++++++++++++++
2807,реализуй класс для инвестиционного портфеля,43++++++++++++++++++++++++++++
2872,создай класс с делегирующими конструкторами,43++++++++++++++++++++++++++++
2875,создай класс с пользовательскими литералами,43++++++++++++++++++++++++++++
117,создай программу которая использует decltype,44++++++++++++++++++++++++++++
763,создай класс Book для книги с автором и названием,44+++++++++++++++++++++
781,реализуй класс Vector2 для двумерного вектора с методами доступа и вычисления длины без using namespace std,44
880,создай класс для представления времени суток,44++++++++++++++++++++++++++++
901,реализуй класс для хранения размеров коробки,44++++++++++++++++++++++++++++
904,напиши класс для представления валютной пары,44++++++++++++++++++++++++++++
907,создай класс для хранения информации о файле,44++++++++++++++++++++++++++++
962,реализуй класс с множественным наследованием,44++++++++++++++++++++++++++++
1529,напиши программу которая проверяет анаграммы,44++++++++++++++++++++
1532,создай программу которая проверяет панграмму,44++++++++++++++++++++
1533,создай программу которая проверяет изограмму,44++++++++++++++++++++
1869,создай программу которая использует decltype,44--------------------
1920,напиши программу которая проверяет анаграммы,44++++++++++++++++++++
1923,создай программу которая проверяет панграмму,44--------------------
1924,создай программу которая проверяет изограмму,44--------------------
2337,напиши класс для представления элемента меню,44--------------------
2738,создай класс для работы с суффиксным деревом,44++++++++++++++++++++
2763,реализуй класс для работы с памятью процесса,44++++++++++++++++++++
2783,реализуй класс Contact для контакта и работы с ним,44++++++++++++++++++
2819,реализуй класс с множественным наследованием,44-------------------
2862,напиши класс с перегрузкой оператора запятой,44-------------------
2967,реализуй класс для работы с корутинами C++20,44-------------------
309,создай программу которая переворачивает число,45+++++++++++++++++++
766,"напиши класс Date для даты с днем, месяцем и годом",45++++++++++++++++
775,напиши класс Person для человека с именем и фамилией,45+++++++++++++++++++
1001,создай класс BankAccount для банковского счета с балансом,45++++++++++++++++++
1252,создай класс с type traits (признаками типов),45++++++++++++++++++++++++++++
1489,напиши программу которая вычисляет арктангенс,45++++++++++++++++++++++++++++
1492,создай программу которая округляет число вниз,45++++++++++++++++++++++++++++
1495,напиши программу которая вычисляет объем куба,45++++++++++++++++++++++++++++
1496,создай программу которая вычисляет объем шара,45++++++++++++++++++++++++++++
1613,напиши программу которая умножает матрицы 2x2,45++++++++++++++++++++++++++++
1675,напиши программу которая вычисляет выпуклость,45++++++++++++++++++++++++++++
1703,создай программу которая вычисляет длину дуги,45++++++++++++++++++++++++++++
1715,создай программу которая вычисляет объем тора,45----------------------------
1764,напиши программу которая демонстрирует классы,45++++++++++++++++++++++++++++
1825,создай программу которая уменьшает число на 1,45----------------------------
1843,создай программу которая выводит модуль числа,45----------------------------
1883,создай программу которая округляет число вниз,45----------------------------
1886,напиши программу которая вычисляет объем куба,45----------------------------
1887,создай программу которая вычисляет объем шара,45----------------------------
1941,напиши программу которая умножает матрицы 2x2,45++++++++++++++++++++++++++++
2003,напиши программу которая вычисляет выпуклость,45----------------------------
2031,напиши программу которая вычисляет длину дуги,45----------------------------
2043,напиши программу которая вычисляет объем тора,45----------------------------
2092,напиши программу которая демонстрирует классы,45++++++++++++++++++++++++++++
2248,создай программу которая демонстрирует typeid,45++++++++++++++++++++++++++++
2283,создай программу которая переворачивает число,45--------------------
2319,напиши класс Port для представления сетевого порта,45+++++++++++++++++++
2338,создай класс PrinterSettings для хранения параметров принтера,45+++++++++++++++++++
2721,реализуй класс для работы с деревьями решений,45++++++++++++++++++++
2776,создай класс для дроби с основными операциями,45++++++++++++++++++++
2780,реализуй класс Order для управления заказом в интернет-магазине с методами изменения статуса и отображения,45++++++++++++++++++
2808,напиши класс для проекта в системе управления,45++++++++++++++++++++
2867,реализуй класс с чисто виртуальными функциями,45++++++++++++++++++++
2961,реализуй класс TTLCache для кэша с TTL и LRU политикой,45+++++++++++++++++
2962,напиши класс для пула потоков с work stealing,45+++++++++++++++++
11,напиши программу которая выводит 'Hello World',46+++++++++++++++++
754,напиши класс для студента с именем и возрастом,46+++++++++++++++++
1272,реализуй класс-исключение для обработки ошибок,46+++++++++++++++++
1491,напиши программу которая округляет число вверх,46+++++++++++++++++
1550,напиши программу с шаблонным классом для стека,46+++++++++++++++++
1594,напиши программу с source_location для отладки,46+++++++++++++++++
1624,напиши программу которая реализует шифр Цезаря,46+++++++++++++++++
1759,создай программу которая показывает цикл while,46-----------------
1772,создай программу которая показывает STL vector,46-----------------
1773,напиши программу которая демонстрирует STL map,46-----------------
1818,напиши программу которая выводит квадрат числа,46+++++++++++++++++
1850,напиши программу которая вычисляет факториал 5,46+++++++++++++++++
1882,напиши программу которая округляет число вверх,46-----------------
1952,создай программу которая реализует шифр Цезаря,46-----------------
2087,создай программу которая показывает цикл while,46+++++++++++++++++
2100,создай программу которая показывает STL vector,46+++++++++++++++++
2101,напиши программу которая демонстрирует STL map,46+++++++++++++++++
2219,напиши программу которая переворачивает вектор,46+++++++++++++++++
2249,напиши программу которая демонстрирует nullptr,46-----------------
2346,напиши класс для представления элемента списка,46+++++++++++++++++
2538,создай класс для работы с комплексными числами,46+++++++++++++++++
2552,напиши класс для работы с автоматами состояний,46+++++++++++++++++
2598,реализуй класс для работы с push-уведомлениями,46+++++++++++++++++
2769,напиши класс Book для книги с геттерами (get) и сеттерами(set),46+++++++++++++++++++
2968,напиши класс для системы плагинов с hot reload,46+++++++++++++++++
784,напиши класс для треугольника с тремя сторонами,47++++++++++++++++++++
913,напиши класс для представления точки на графике,47+++++++++++++++++++++
1129,напиши программу которая находит размер вектора,47++++++++++++++++++++
1249,создай шаблонный класс для пары значений (pair),47++++++++++++++++++++
1488,создай программу которая вычисляет тангенс угла,47++++++++++++++++++++
1493,напиши программу которая обрезает дробную часть,47++++++++++++++++++++
1512,создай программу которая вычисляет объем конуса,47++++++++++++++++++++
1521,напиши программу которая вычисляет след матрицы,47++++++++++++++++++++
1563,напиши программу с пользовательскими литералами,47++++++++++++++++++++
1565,напиши программу с мьютексами для синхронизации,47++++++++++++++++++++
1591,напиши программу с any для хранения любого типа,47++++++++++++++++++++
1608,напиши программу которая находит НОД рекурсивно,47++++++++++++++++++++
1631,напиши программу которая находит НОД итеративно,47--------------------
1723,создай программу которая вычисляет объем призмы,47--------------------
1758,напиши программу которая демонстрирует цикл for,47--------------------
1767,создай программу которая показывает полиморфизм,47++++++++++++++++++++
1824,напиши программу которая увеличивает число на 1,47--------------------
1837,создай программу которая вычисляет дискриминант,47--------------------
1884,напиши программу которая обрезает дробную часть,47++++++++++++++++++++
1903,создай программу которая вычисляет объем конуса,47--------------------
1912,напиши программу которая вычисляет след матрицы,47--------------------
1936,напиши программу которая находит НОД рекурсивно,47++++++++++++++++++++
1959,создай программу которая находит НОД итеративно,47++++++++++++++++++++
2051,создай программу которая вычисляет объем призмы,47++++++++++++++++++++
2086,напиши программу которая демонстрирует цикл for,47++++++++++++++++++++
2095,создай программу которая показывает полиморфизм,47--------------------
2223,напиши программу которая объединяет два вектора,47++++++++++++++++++++
2247,напиши программу которая демонстрирует decltype,47--------------------
2516,напиши класс для выполнения периодических задач,47++++++++++++++++++++
2534,напиши класс для работы с приоритетной очередью,47++++++++++++++++++++
2545,реализуй класс для работы с битовыми операциями,47++++++++++++++++++++++++
2554,реализуй класс для работы с виртуальной машиной,47++++++++++++++++++++++++
2770,создай класс Time для времени с проверкой правельности,47++++++++++++++++++++++++++++
2772,напиши класс для сотрудника с приватными полями,47++++++++++++++++++++++++
2869,создай класс с final и override спецификаторами,47++++++++++++++++++++++++
2965,напиши класс для системы событий с приоритетами,47++++++++++++++++++++++++++++
90,напиши программу которая выводит размер типа int,48++++++++++++++++++++++++++++
114,напиши программу которая демонстрирует constexpr,48++++++++++++++++++++++++++++
689,создай программу которая использует перечисление,48++++++++++++++++++++++++++++
718,напиши класс с константными объектами и методами,48++++++++++++++++++++++++++++
757,реализуй класс для светофора с тремя состояниями,48++++++++++++++++++++++++++++
823,напиши класс для представления интервала времени,48++++++++++++++++++++++++++++
1052,"создай класс с перегрузкой оператора запятая ','",48++++++++++++++++++++++++++++
1508,создай программу которая вычисляет площадь ромба,48---------------------------
1513,напиши программу которая вычисляет длину вектора,48
1622,создай программу которая реализует алгоритм Luhn,48
1713,создай программу которая вычисляет длину спирали,48
1741,создай программу которая вычисляет объем тороида,48
1765,создай программу которая показывает конструкторы,48
1777,напиши программу которая демонстрирует constexpr,48
1849,создай программу которая выводит размер типа int,48
1859,напиши программу которая использует перечисление,48
1868,напиши программу которая демонстрирует constexpr,48
1899,создай программу которая вычисляет площадь ромба,48---------------------------
1904,напиши программу которая вычисляет длину вектора,48
1950,создай программу которая реализует алгоритм Luhn,48
2041,напиши программу которая вычисляет длину спирали,48
2069,создай программу которая вычисляет объем тороида,48
2093,создай программу которая показывает конструкторы,48
2105,напиши программу которая демонстрирует constexpr,48
2118,создай программу которая вычисляет объем кубоида,48+++++++++++++++++++++++++++
2159,напиши программу которая вычисляет объем коноида,48+++++++++++++++++++++++++++
2263,создай программу которая находит медиану вектора,48+++++++++++++++++++++++++++
2286,напиши программу которая вычисляет степень числа,48
2292,напиши программу которая вычисляет площадь круга,48
2302,напиши программу которая вычисляет длину вектора,48
2768,реализуй класс Circle с методами доступа к свойствам круга и константными методами вычисления,48++++++++++++++++++++++++
2815,создай класс с перегрузкой операторов арифметики,48------------------------
2848,реализуй цепочку обязанностей (Chain of Responsibility) с абстрактным классом Handler и конкретными обработчиками,48+++++++++++++++++++++++++
2971,напиши класс MetricsSystem для системы мониторинга с метриками,48+++++++++++++++++++++
2973,реализуй класс TestSystem для организации модульного тестирования с поддержкой mock-объектов,48++++++++++++++++++++++++++++
72,создай программу которая вычисляет НОК двух чисел,49++++++++++++++++++++++++++++
258,создай программу калькулятор с операциями + - * /,49++++++++++++++++++++++++++++
264,напиши программу которая проверяет четность числа,49++++++++++++++++++++++++++++
500,напиши программу которая выводит адрес переменной,49++++++++++++++++++++++++++++
1132,создай программу которая проверяет пуст ли вектор,49++++++++++++++++++++++++++++
1141,напиши программу которая копирует массив в вектор,49++++++++++++++++++++++++++++
1441,создай программу которая реализует RSA шифрование,49++++++++++++++++++
1510,создай программу которая вычисляет объем цилиндра,49++++++++++++++++++
1557,напиши программу с использованием auto и decltype,49++++++++++++++++++
1586,напиши программу с SFINAE для условной компиляции,49++++++++++++++++++
1621,напиши программу которая вычисляет CRC32 checksum,49------------------
1649,напиши программу которая вычисляет рентабельность,49++++++++++++++++++
1656,создай программу которая вычисляет маржинальность,49++++++++++++++++++
1663,напиши программу которая вычисляет денежный поток,49------------------
1697,создай программу которая вычисляет объем пирамиды,49------------------
1704,напиши программу которая вычисляет площадь кольца,49++++++++++++++++++
1717,создай программу которая вычисляет объем октаэдра,49++++++++++++++++++
1774,создай программу которая показывает алгоритмы STL,49
1845,создай программу которая проверяет четность числа,49
1853,создай программу которая выводит адрес переменной,49
1874,напиши программу которая вычисляет НОД двух чисел,49
1875,создай программу которая вычисляет НОК двух чисел,49
1901,создай программу которая вычисляет объем цилиндра,49-----------------
1949,напиши программу которая вычисляет CRC32 checksum,49+++++++++++++++++
1977,создай программу которая вычисляет рентабельность,49-----------------
1984,напиши программу которая вычисляет маржинальность,49-----------------
1991,создай программу которая вычисляет денежный поток,49+++++++++++++++++
2025,напиши программу которая вычисляет объем пирамиды,49+++++++++++++++++
2032,создай программу которая вычисляет площадь кольца,49-----------------
2045,напиши программу которая вычисляет объем октаэдра,49-----------------
2102,создай программу которая показывает алгоритмы STL,49
2151,напиши программу которая вычисляет объем сфероида,49
2264,напиши программу которая создает двумерный вектор,49
2282,создай программу которая вычисляет НОД двух чисел,49
2291,создай программу которая конвертирует температуру,49
2296,напиши программу которая проверяет високосный год,49
2305,создай программу которая реализует линейный поиск,49
2306,напиши программу которая реализует бинарный поиск,49
2323,создай класс для хранения информации о процессоре,49
2343,напиши класс для представления системного события,49
2523,создай класс для работы с регулярными выражениями,49
2635,реализуй класс для системы резервного копирования,49
2687,реализуй класс для системы резервного копирования,49
2739,реализуй класс для алгоритма Кнута-Морриса-Пратта,49
2816,реализуй класс с перегрузкой оператора индексации,49
2868,напиши класс с ковариантными возвращаемыми типами,49
2966,создай класс JSONSerializer для сериализации в JSON с рефлексией,49+++++++++++++++++++++++++
210,напиши программу которая преобразует минуты в часы,50++++++++++++++++++++++++++++
252,напиши программу которая проверяет четное ли число,50++++++++++++++++++++++++++++
291,создай программу которая создает массив из 3 чисел,50++++++++++++++++++++++++++++
414,создай программу которая использует атрибуты C++11,50++++++++++++++++++++++++++++
968,реализуй класс с приватным (private) наследованием,50++++++++++++++++++++++++++++
1261,создай программу которая использует концепты C++20,50++++++++++++++++++++++++++++
1419,напиши программу которая использует корутины C++20,50++++++++++++++++++++++++++++
1501,напиши программу которая вычисляет сложный процент,50
1502,создай программу которая решает линейное уравнение,50
1518,создай программу которая транспонирует матрицу 2x2,50
1520,создай программу которая умножает матрицу на число,50
1636,создай программу которая транспонирует матрицу 3x3,50-----------------------------
1666,создай программу которая вычисляет коэффициент P/E,50+++++++++++++++++++++++++++++
1667,напиши программу которая вычисляет коэффициент P/B,50+++++++++++++++++++++++++++++
1677,напиши программу которая вычисляет кредитный спред,50+++++++++++++++++++++++++++++
1696,напиши программу которая вычисляет площадь эллипса,50+++++++++++++++++++++++++++++
1700,напиши программу которая вычисляет объем тетраэдра,50-----------------------------
1719,создай программу которая вычисляет объем икосаэдра,50-----------------------------
1743,создай программу которая вычисляет объем гептаэдра,50+++++++++++++++++++++++++++++
1776,реализуй демонстрацию move семантики с классом Resource и запретом копирования,50++++++++++++++++++
1778,создай программу которая показывает концепты C++20,50+++++++++++++++++++++++++++
1790,создай программу которая использует корутины C++20,50+++++++++++++++++++++++++++
1798,напиши программу которая демонстрирует type traits,50---------------------------
1822,напиши программу которая находит ASCII код символа,50
1846,создай программу которая преобразует минуты в часы,50
1867,создай программу которая использует атрибуты C++11,50
1892,напиши программу которая вычисляет сложный процент,50
1893,создай программу которая решает линейное уравнение,50
1909,создай программу которая транспонирует матрицу 2x2,50
1911,создай программу которая умножает матрицу на число,50
1964,напиши программу которая транспонирует матрицу 3x3,50+++++++++++++++++++++++++++
1994,напиши программу которая вычисляет коэффициент P/E,50---------------------------
1995,создай программу которая вычисляет коэффициент P/B,50---------------------------
2005,напиши программу которая вычисляет кредитный спред,50+++++++++++++++++++++++++++
2024,создай программу которая вычисляет площадь эллипса,50---------------------------
2028,создай программу которая вычисляет объем тетраэдра,50---------------------------
2047,напиши программу которая вычисляет объем икосаэдра,50---------------------------
2071,создай программу которая вычисляет объем гептаэдра,50
2104,реализуй демонстрацию работы move с вектором для передачи владения,50
2106,создай программу которая показывает концепты C++20,50---------------------------
2226,создай программу которая преобразует вектор в кучу,50
2238,создай программу которая умножает вектор на скаляр,50
2267,создай программу которая умножает матрицу на число,50
2279,напиши программу которая вычисляет факториал числа,50
2281,напиши программу которая вычисляет числа Фибоначчи,50
2543,напиши класс для работы с матрицами преобразований,50++++++++++++++++++++++++++++
2610,создай класс для работы с геометрическими фигурами,50
2662,создай класс для работы с геометрическими фигурами,50
2972,создай класс для системы конфигурации с валидацией,50
75,напиши программу которая выводит все делители числа,51++++++++++++++++++++++++++++
99,напиши программу которая демонстрирует переполнение,51++++++++++++++++++++++++++++
213,создай программу которая вычисляет процент от числа,51++++++++++++++++++++++++++++
219,создай программу которая вычисляет экспоненту числа,51++++++++++++++++++++++++++++
736,реализуй класс с mutable для кэширования вычислений,51++++++++++++++++++++++++++++
892,реализуй класс для координат клетки шахматной доски,51++++++++++++++++++++++++++++
934,реализуй класс в C++ с конструктором и деструктором,51++++++++++++++++++++++++++++
965,создай класс с защищенным (protected) наследованием,51++++++++++++++++++++++++++++
986,реализуй класс с ковариантными возвращаемыми типами,51++++++++++++++++++++++++++++
1022,создай класс с перегруженным оператором вывода '<<',51++++++++++++++++++++++++++++
1123,напиши программу которая добавляет элемент в вектор,51++++++++++++++++++++++++++++
1497,напиши программу которая вычисляет длину окружности,51++++++++++++++++++++++++++++
1504,создай программу которая находит медиану трех чисел,51++++++++++++++++++++++++++++
1507,напиши программу которая вычисляет площадь трапеции,51++++++++++++++++++++++++++++
1519,напиши программу которая складывает две матрицы 2x2,51++++++++++++++++++++++++++++
1555,напиши программу с лямбда-выражением для сортировки,51++++++++++++++++++++++++++++
1580,напиши программу с observer pattern для уведомлений,51++++++++++++++++++++++++++++
1602,создай функцию isValidEmail которая проверяет правильность введенного email,51++++++++++++++++++++++++++++
1637,напиши программу которая складывает две матрицы 3x3,51++++++++++++++++++++++++++++
1639,напиши программу которая вычисляет след матрицы 3x3,51----------------------------
1668,создай программу которая вычисляет бета-коэффициент,51++++++++++++++++++++++++++++
1685,напиши программу которая вычисляет срок окупаемости,51+++++++++++++++++++++++++++
1709,создай программу которая вычисляет объем эллипсоида,51+++++++++++++++++++++++++++
1721,создай программу которая вычисляет объем додекаэдра,51+++++++++++++++++++++++++++
1745,создай программу которая вычисляет объем антипризмы,51+++++++++++++++++++++++++++
1757,создай программу которая показывает оператор switch,51
1766,напиши программу которая демонстрирует наследование,51
1782,напиши программу которая реализует паттерн Одиночка,51---------------------------
1823,создай программу которая выводит остаток от деления,51
1835,создай программу которая вычисляет НДС 20% от суммы,51
1847,напиши программу которая вычисляет процент от числа,51
1856,создай программу которая демонстрирует переполнение,51
1876,напиши программу которая выводит все делители числа,51
1879,создай программу которая вычисляет экспоненту числа,51
1888,напиши программу которая вычисляет длину окружности,51----------------------
1895,создай программу которая находит медиану трех чисел,51----------------------
